Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_3,VGND,li1,7.1300,59.8400,0.000019
FILLER_16_165,VGND,li1,81.6500,54.4000,0.000074
FILLER_16_162,VGND,li1,80.7300,54.4000,0.000074
FILLER_16_137,VGND,li1,69.2300,54.4000,0.000069
FILLER_16_114,VGND,li1,58.6500,54.4000,0.000062
FILLER_16_106,VGND,li1,54.5100,54.4000,0.000059
FILLER_16_85,VGND,li1,45.3100,54.4000,0.000050
FILLER_16_83,VGND,li1,43.9300,54.4000,0.000047
FILLER_16_80,VGND,li1,43.0100,54.4000,0.000047
FILLER_16_71,VGND,li1,38.4100,54.4000,0.000041
FILLER_16_68,VGND,li1,37.4900,54.4000,0.000041
FILLER_16_53,VGND,li1,30.5900,54.4000,0.000030
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000024
FILLER_15_167,VGND,li1,82.5700,54.4000,0.000075
FILLER_15_142,VGND,li1,71.0700,54.4000,0.000070
FILLER_15_131,VGND,li1,66.0100,54.4000,0.000067
FILLER_15_120,VGND,li1,61.4100,54.4000,0.000064
FILLER_15_111,VGND,li1,56.8100,54.4000,0.000060
FILLER_15_82,VGND,li1,43.9300,54.4000,0.000047
FILLER_15_57,VGND,li1,31.9700,54.4000,0.000033
FILLER_15_6,VGND,li1,8.5100,54.4000,0.000026
FILLER_15_3,VGND,li1,7.5900,54.4000,0.000026
FILLER_14_189,VGND,li1,92.6900,48.9600,0.000062
FILLER_14_131,VGND,li1,66.2400,48.9600,0.000054
FILLER_14_112,VGND,li1,57.2700,48.9600,0.000049
FILLER_14_105,VGND,li1,54.0500,48.9600,0.000047
FILLER_14_94,VGND,li1,49.4500,48.9600,0.000042
FILLER_14_91,VGND,li1,48.0700,48.9600,0.000042
FILLER_14_88,VGND,li1,46.6900,48.9600,0.000040
FILLER_14_85,VGND,li1,45.3100,48.9600,0.000038
FILLER_14_82,VGND,li1,43.7000,48.9600,0.000038
FILLER_14_71,VGND,li1,38.6400,48.9600,0.000033
FILLER_14_62,VGND,li1,34.5000,48.9600,0.000029
FILLER_14_29,VGND,li1,19.0900,48.9600,0.000020
FILLER_13_166,VGND,li1,82.3400,48.9600,0.000061
FILLER_13_130,VGND,li1,65.5500,48.9600,0.000054
FILLER_13_101,VGND,li1,52.6700,48.9600,0.000045
FILLER_13_89,VGND,li1,47.1500,48.9600,0.000040
FILLER_13_86,VGND,li1,45.7700,48.9600,0.000040
FILLER_13_39,VGND,li1,24.1500,48.9600,0.000017
FILLER_13_16,VGND,li1,13.1100,48.9600,0.000021
FILLER_13_3,VGND,li1,7.1300,48.9600,0.000021
FILLER_12_181,VGND,li1,89.0100,43.5200,0.000075
FILLER_12_161,VGND,li1,79.8100,43.5200,0.000073
FILLER_12_158,VGND,li1,78.8900,43.5200,0.000073
FILLER_12_131,VGND,li1,66.2400,43.5200,0.000066
FILLER_12_115,VGND,li1,58.6500,43.5200,0.000060
FILLER_12_82,VGND,li1,43.7000,43.5200,0.000045
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000023
FILLER_11_188,VGND,li1,92.4600,43.5200,0.000075
FILLER_11_174,VGND,li1,85.7900,43.5200,0.000075
FILLER_11_158,VGND,li1,78.6600,43.5200,0.000073
FILLER_11_149,VGND,li1,74.2900,43.5200,0.000071
FILLER_11_120,VGND,li1,61.1800,43.5200,0.000062
FILLER_11_117,VGND,li1,60.0300,43.5200,0.000060
FILLER_11_111,VGND,li1,56.8100,43.5200,0.000058
FILLER_11_108,VGND,li1,55.8900,43.5200,0.000058
FILLER_11_101,VGND,li1,52.2100,43.5200,0.000053
FILLER_11_98,VGND,li1,51.2900,43.5200,0.000053
FILLER_11_95,VGND,li1,49.9100,43.5200,0.000050
FILLER_11_92,VGND,li1,48.5300,43.5200,0.000050
FILLER_11_89,VGND,li1,47.1500,43.5200,0.000048
FILLER_11_86,VGND,li1,45.7700,43.5200,0.000048
FILLER_11_83,VGND,li1,44.3900,43.5200,0.000045
FILLER_11_80,VGND,li1,43.0100,43.5200,0.000043
FILLER_11_77,VGND,li1,41.6300,43.5200,0.000043
FILLER_11_60,VGND,li1,33.3500,43.5200,0.000032
FILLER_11_57,VGND,li1,32.4300,43.5200,0.000032
FILLER_11_24,VGND,li1,16.7900,43.5200,0.000024
FILLER_11_3,VGND,li1,7.1300,43.5200,0.000026
FILLER_10_180,VGND,li1,88.7800,38.0800,0.000069
FILLER_10_168,VGND,li1,83.4900,38.0800,0.000067
FILLER_10_141,VGND,li1,70.8400,38.0800,0.000061
FILLER_10_112,VGND,li1,57.2700,38.0800,0.000050
FILLER_10_109,VGND,li1,56.3500,38.0800,0.000050
FILLER_10_106,VGND,li1,54.9700,38.0800,0.000048
FILLER_10_103,VGND,li1,53.5900,38.0800,0.000046
FILLER_10_100,VGND,li1,52.2100,38.0800,0.000046
FILLER_10_97,VGND,li1,50.8300,38.0800,0.000044
FILLER_10_94,VGND,li1,49.4500,38.0800,0.000042
FILLER_10_91,VGND,li1,48.0700,38.0800,0.000042
FILLER_10_88,VGND,li1,46.6900,38.0800,0.000040
FILLER_10_85,VGND,li1,45.3100,38.0800,0.000040
FILLER_10_83,VGND,li1,43.9300,38.0800,0.000038
FILLER_10_80,VGND,li1,43.0100,38.0800,0.000038
FILLER_10_72,VGND,li1,39.1000,38.0800,0.000034
FILLER_10_69,VGND,li1,37.9500,38.0800,0.000031
FILLER_10_66,VGND,li1,36.5700,38.0800,0.000031
FILLER_10_63,VGND,li1,35.1900,38.0800,0.000029
FILLER_10_60,VGND,li1,33.8100,38.0800,0.000027
FILLER_10_32,VGND,li1,20.4700,38.0800,0.000022
FILLER_10_29,VGND,li1,19.5500,38.0800,0.000022
FILLER_10_25,VGND,li1,17.7100,38.0800,0.000024
FILLER_10_11,VGND,li1,10.8100,38.0800,0.000026
FILLER_9_167,VGND,li1,82.5700,38.0800,0.000067
FILLER_9_164,VGND,li1,81.6500,38.0800,0.000067
FILLER_9_110,VGND,li1,56.5800,38.0800,0.000050
FILLER_9_107,VGND,li1,55.4300,38.0800,0.000048
FILLER_9_104,VGND,li1,54.0500,38.0800,0.000048
FILLER_9_97,VGND,li1,50.6000,38.0800,0.000044
FILLER_9_94,VGND,li1,49.4500,38.0800,0.000042
FILLER_9_91,VGND,li1,48.0700,38.0800,0.000042
FILLER_9_88,VGND,li1,46.6900,38.0800,0.000040
FILLER_9_68,VGND,li1,37.4900,38.0800,0.000031
FILLER_9_65,VGND,li1,36.1100,38.0800,0.000029
FILLER_9_62,VGND,li1,34.7300,38.0800,0.000029
